,state,budget in billions,short_state
0,Alabama,28.5,AL
1,Alaska,12.3,AK
2,Arizona,31.7,AZ
3,Arkansas,37.5,AR
4,California,156.4,CA
5,Colorado,24.6,CO
6,Connecticut,19.0,CT
7,Delaware,4.5,DE
8,Florida,77.1,FL
9,Georgia,20.8,GA
10,Hawaii,12.1,HI
11,Idaho,6.7,ID
12,Illinois,87.4,IL
13,Indiana,15.4,IN
14,Iowa,8.2,IA
15,Kansas,15.4,KA
16,Kentucky,66.0,KY
17,Louisiana,29.1,LA
18,Maine,8.1,MN
19,Maryland,40.4,MD
20,Massachusetts,36.5,MA
21,Michigan,37.4,MI
22,Minnesota,71.3,MN
23,Mississippi,6.1,MS
24,Missouri,27.0,MO
25,Montana,10.9,MT
26,Nebraska,9.7,NE
27,Nevada,9.0,NV
28,New Hampshire,5.4,NH
29,New Jersey,32.5,NJ
30,New Mexico,15.0,NM
31,New York,142.0,NY
32,North Carolina,41.2,NC
33,North Dakota,6.9,ND
34,Ohio,31.7,OH
35,Oklahoma,7.2,OK
36,Oregon,62.7,OR
37,Pennsylvania,29.0,PA
38,Rhode Island,8.8,RI
39,South Carolina,23.6,SC
40,South Dakota,4.3,SD
41,Tennessee,32.6,TN
42,Texas,99.7,TX
43,Utah,13.5,UT
44,Vermont,3.6,VT
45,Virginia,47.0,VA
46,Washington,83.4,WA
47,West Virginia,12.2,WV
48,Wisconsin,70.4,WI
49,Wyoming,9.3,WY
