,university,endowment in billions,city,short_state
0,Amherst College,2.149,Amherst,MA
1,Baylor University,1.154,Waco,TX
2,Baylor College of Medicine,1.021,Houston,TX
3,Berea College,1.137,Berea,KY
4,Boston College,2.131,Chestnut Hill,MA
5,Boston University,1.616,Boston,MA
6,Bowdoin College,1.216,Brunswick,ME
7,Brown University,3.0,Providence,RI
8,California Institute of Technology,2.094,Pasadena,CA
9,Carnegie Mellon University,1.6,Pittsburgh,PA
10,Case Western Reserve University,1.759,Cleveland,OH
11,Columbia University,9.223,New York City,NY
12,Cornell University,5.89,Ithaca,NY
13,Dartmouth College,4.468,Hanover,NH
14,Duke University,7.037,Durham,NC
15,Emory University,6.681,Druid Hills,GA
16,George Washington University,1.577,Washington,D.C.
17,Georgetown University,1.461,Washington,D.C.
18,Georgia Institute of Technology,1.889,Atlanta,GA
19,Grinnell College,1.83,Grinnell,IA
20,Harvard University,35.883,Cambridge,MA
21,Indiana University,1.988,Bloomington,IN
22,Johns Hopkins University,3.452,Baltimore,MD
23,Lehigh University,1.216,Bethlehem,PA
24,Massachusetts Institute of Technology,12.425,Cambridge,MA
25,Michigan State University,2.145,East Lansing,MI
26,Middlebury College,1.082,Middlebury,VT
27,New York University,3.424,New York City,NY
28,Northwestern University,9.778,Evanston,IL
29,Ohio State University,3.548,Columbus,OH
30,Pennsylvania State University,3.446,University Park,PA
31,Pomona College,2.101,Claremont,CA
32,Princeton Theological Seminary,1.042,Princeton,NJ
33,Princeton University,20.996,Princeton,NJ
34,Purdue University,2.443,West Lafayette,IN
35,Rice University,5.528,Houston,TX
36,Rockefeller University,1.986,New York City,NY
37,Saint Louis University,1.077,St. Louis,MO
38,Smith College,1.756,Northampton,MA
39,Southern Methodist University,1.466,University Park,TX
40,Stanford University,21.446,Stanford,CA
41,Swarthmore College,1.877,Swarthmore,PA
42,Syracuse University,1.183,Syracuse,NY
43,Texas A&M University System,11.104,College Station,TX
44,Texas Christian University,1.443,Fort Worth,TX
45,Texas Tech University,1.195,Lubbock,TX
46,Trinity University (Texas),1.18,San Antonio,TX
47,Tufts University,1.59,Somerville,MA
48,Tulane University,1.184,New Orleans,LA
49,University of Alabama,1.235,Tuscaloosa,AL
50,University of California,7.384,Oakland,CA
51,University of California - Berkeley,1.496,Berkeley,CA
52,University of California - Los Angeles,1.733,Los Angeles,CA
53,University of Chicago,7.546,Chicago,IL
54,University of Cincinnati,1.184,Cincinnati,OH
55,University of Colorado,1.063,Denver,CO
56,University of Delaware,1.31,Newark,DL
57,University of Florida,1.52,Gainesville,FL
58,University of Illinois system,2.278,Champaign-Urbana,IL
59,University of Kansas,1.471,Lawrence,KS
60,University of Kentucky,1.137,Lexington,KY
61,University of Iowa,1.251,Iowa City,IA
62,University of Michigan,9.731,Ann Arbor,MI
63,University of Minnesota,3.165,Minneapolis,MN
64,University of Missouri,1.441,Columbia,MO
65,University of Nebraska,1.547,Lincoln,NE
66,University of North Carolina at Chapel Hill,2.696,Chapel Hill,NC
67,University of Notre Dame,8.04,Notre Dame,IN
68,University of Oklahoma,1.493,Norman,OK
69,University of Pennsylvania,9.582,Philadelphia,PA
70,University of Pittsburgh,3.493,Pittsburgh,PA
71,University of Richmond,2.313,Richmond,VA
72,University of Rochester,2.015,Rochester,NY
73,University of Southern California,4.593,Los Angeles,CA
74,University of Tennessee system,1.072,Knoxville,TN
75,University of Texas System,25.426,Austin,TX
76,University of Tulsa,1.015,Tulsa,OK
77,University of Virginia,5.946,Charlottesville,VA
78,University of Washington,2.833,Seattle,WA
79,University of Wisconsin–Madison,2.332,Madison,Wi
80,Vanderbilt University,4.086,Nashville,TN
81,Virginia Commonwealth University,1.509,Richmond,VA
82,Wake Forest University,1.148,Winston-Salem,NC
83,Washington and Lee University,1.478,Lexington,KY
84,Washington University in St. Louis,6.643,St. Louis,MO
85,Wellesley College,1.808,Wellesley College,MA
86,Williams College,2.253,Williamstown,MA
87,Yale University,23.9,New Haven,CT
88,Yeshiva University,1.093,New York City,NY
